"Whitfield, Lachie",GW,4,-,-,-,-,-,2,-,-,-,-,,-,-,2,-,-,-,-,,,,,,17,,2,,2
"Zaharakis, David",ES,4,-,-,,-,-,2,-,-,-,-,2,,,,,,,,,,,,,10,,2,,2
"Perryman, Harry",GW,4,2,-,2,-,-,-,-,-,-,-,,-,-,-,-,,-,-,,,,,,16,,2,,2
"May, Steven",ME,4,-,-,,-,-,-,-,-,-,1,-,-,-,2,-,-,-,1,,,,,,17,,1,2,3
"Treloar, Adam",CW,4,,,,,1,2,1,-,-,-,,,,,,,-,-,,,,,,8,,1,2,3
"McCluggage, Hugh",BL,4,-,-,2,1,-,-,-,-,-,-,-,-,1,,-,-,-,-,,,,,,17,,1,2,3
"Coniglio, Stephen",GW,4,-,1,-,-,-,-,2,-,-,1,,-,-,-,-,-,,-,,,,,,16,,1,2,3
"Kennedy, Josh",SY,4,1,-,-,-,-,-,,,,,,,-,-,-,-,1,2,,,,,,12,,1,2,3
"Sholl, Lachlan",AD,3,,,,,,,,,,-,-,-,-,,-,-,3,-,,,,,,8,1,,,1
"Cerra, Adam",FR,3,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,3,-,-,,,,,,17,1,,,1
"Graham, Jack",RI,3,-,-,-,,,-,-,-,,,,-,-,-,3,,-,-,,,,,,12,1,,,1
"Barrass, Tom",WC,3,-,-,-,-,-,-,-,-,-,,-,-,-,-,3,-,-,-,,,,,,17,1,,,1
"Sloane, Rory",AD,3,-,-,-,-,-,-,,,,,,-,-,,3,-,-,-,,,,,,12,1,,,1
"Cameron, Jeremy",GW,3,-,-,-,-,-,-,-,-,-,-,,-,-,3,-,-,-,-,,,,,,17,1,,,1
"Lukosius, Jack",GC,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,,-,-,-,,,,,,17,1,,,1
"Naughton, Aaron",WB,3,-,-,-,-,,,,,,,-,3,-,-,,-,-,-,,,,,,11,1,,,1
"Rohan, Gary",GE,3,-,-,-,-,-,-,-,-,-,,3,-,-,-,,-,,-,,,,,,15,1,,,1
"Taranto, Tim",GW,3,,,,,,,-,-,-,3,,-,-,-,-,-,-,-,,,,,,11,1,,,1
"Anderson, Jed",NM,3,-,-,-,-,-,,,-,3,-,-,-,-,-,,-,-,-,,,,,,15,1,,,1
"Powell-Pepper, Sam",PA,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,1,,,1
"Mundy, David",FR,3,,-,-,-,3,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,16,1,,,1
"Bruce, Josh",WB,3,-,-,-,-,3,-,-,-,-,-,-,,-,-,,-,-,-,,,,,,16,1,,,1
"Cuningham, David",CA,3,-,-,-,3,-,-,-,-,-,,,,,,,-,-,-,,,,,,12,1,,,1
"Smith, Isaac",HW,3,-,-,3,-,-,-,-,-,-,,-,,,,,,,,,,,,,10,1,,,1
"Motlop, Steven",PA,3,-,3,-,-,-,-,-,,,,,-,-,,,-,-,-,,,,,,12,1,,,1
"Selwood, Joel",GE,3,-,3,-,-,-,-,-,,,-,-,-,,,,,,-,,,,,,11,1,,,1
"Cunnington, Ben",NM,3,3,-,,,-,,,,,,,,,,,,,,,,,,,3,1,,,1
"Prestia, Dion",RI,3,3,-,-,-,-,,,,,,,,,,,,,,,,,,,5,1,,,1
"Crouch, Matt",AD,3,-,-,-,,-,-,-,-,-,-,-,-,-,,1,2,-,-,,,,,,16,,1,1,2
"Taberner, Matthew",FR,3,-,-,-,-,-,-,-,-,2,,-,-,1,-,-,-,-,,,,,,,16,,1,1,2
"Lloyd, Jake",SY,3,-,-,-,-,-,-,-,1,-,-,,2,-,-,-,-,-,-,,,,,,17,,1,1,2
"Short, Jayden",RI,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,,-,-,,,,,,17,,1,1,2
"Baker, Liam",RI,3,-,-,,-,-,1,-,-,-,2,-,-,-,-,-,,-,-,,,,,,16,,1,1,2
"Miller, Touk",GC,3,-,-,2,-,-,-,-,-,-,1,-,-,-,-,,-,-,-,,,,,,17,,1,1,2
"Betts, Eddie",CA,3,,-,1,-,-,2,-,-,-,,-,-,-,-,-,,-,-,,,,,,15,,1,1,2
"Daniel, Caleb",WB,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,2,-,,,,,,17,,1,1,2
"OMeara, Jaeger",HW,3,-,,1,-,-,-,-,2,-,,-,-,,,,,-,-,,,,,,12,,1,1,2
"Miers, Gryan",GE,3,-,1,-,-,-,-,-,-,-,2,-,-,-,-,,-,-,-,,,,,,17,,1,1,2
"Lobb, Rory",FR,3,1,-,-,-,-,-,-,-,-,,-,-,2,-,-,-,-,-,,,,,,17,,1,1,2
"Rich, Daniel",BL,2,-,-,-,-,-,-,-,-,,,-,,,,-,-,-,2,,,,,,13,,1,,1
"Brown, Mitch",ME,2,-,,,,,,,,,,,,,-,-,,-,2,,,,,,5,,1,,1
"McKay, Harry",CA,2,,-,-,,-,-,-,,-,,,-,-,-,-,-,2,-,,,,,,13,,1,,1
"Daniels, Brent",GW,2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,2,-,,,,,,16,,1,,1
"Acres, Blake",FR,2,,,,,,-,-,-,,,,,,,-,-,2,-,,,,,,7,,1,,1
"Riewoldt, Jack",RI,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2,-,,,,,,17,,1,,1
"Rayner, Cam",BL,2,-,-,-,-,-,-,-,-,-,-,,,-,,-,2,-,-,,,,,,15,,1,,1
"McDonald-Tipungwuti, Anthony",ES,2,-,-,,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,17,,1,,1
"Ainsworth, Ben",GC,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,-,,-,,,,,,16,,1,,1
"McGovern, Jeremy",WC,2,-,-,,,-,-,-,,,,,-,2,-,-,-,-,,,,,,,11,,1,,1
"Wallis, Mitch",WB,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,-,-,-,,,,,,17,,1,,1
"Murphy, Marc",CA,2,-,-,-,-,-,-,-,-,-,,-,-,2,-,-,-,-,-,,,,,,17,,1,,1
"Daicos, Josh",CW,2,-,-,-,-,-,,-,-,-,2,-,-,-,-,-,,-,-,,,,,,16,,1,,1
"Butters, Zak",PA,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,,-,,,,,,,,15,,1,,1
"Hind, Nick",SK,2,,-,-,,,,,-,2,-,-,-,-,-,,,-,,,,,,,10,,1,,1
"McDonald, Luke",NM,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Witherden, Alex",BL,2,-,,,,,,,,2,-,-,-,-,,,,,,,,,,,6,,1,,1
"Eggmolesse-Smith, Derek",RI,2,,,,,,-,2,-,-,-,-,,,,,,,,,,,,,6,,1,,1
"Mills, Callum",SY,2,-,-,-,-,-,2,-,-,-,-,,-,-,-,,,-,-,,,,,,15,,1,,1
"Liberatore, Tom",WB,2,,,-,-,2,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,15,,1,,1
"Stringer, Jake",ES,2,-,-,,-,2,,,,,,,,-,-,-,-,-,-,,,,,,10,,1,,1
"Witts, Jarrod",GC,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Casboult, Levi",CA,2,-,-,-,2,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,17,,1,,1
"Long, Ben",SK,2,-,-,-,2,-,-,,,,-,-,-,-,-,,-,-,-,,,,,,14,,1,,1
"Westhoff, Justin",PA,2,-,-,-,2,-,-,-,-,-,-,,,-,-,,,,,,,,,,12,,1,,1
"Ceglar, Jonathon",HW,2,-,-,2,-,-,-,,,-,,-,,,-,-,-,-,-,,,,,,13,,1,,1
"Billings, Jack",SK,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Higgins, Shaun",NM,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Day, Sam",GC,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,,1,,1
"Parfitt, Brandan",GE,2,,2,,-,-,-,-,-,-,,-,-,-,-,,-,-,-,,,,,,14,,1,,1
