"MATCH_ID","SEASON_ID","GROUP_ROUND_NO","MATCH_DATE","MATCH_TIME","MATCH_TIME_MELB","MATCH_TYPE","FINALS_DESC","HOME_SQUAD_ID","HOME_SQUAD","HOME_SCORE","HOME_SQUAD_TRAVEL","AWAY_SQUAD_ID","AWAY_SQUAD","AWAY_SCORE","AWAY_SQUAD_TRAVEL","VENUE_NAME","VENUE_STATE","VENUE_LOCATION","ATTENDANCE"
182492691,2018,22,"2018-08-19","13:10","13:10","Regular Season","",30,"Carlton",49,"L",140,"Western Bulldogs",66,"L","Etihad Stadium","VIC","Melbourne",24143
182490771,2018,22,"2018-08-19","13:20","15:20","Regular Season","",150,"West Coast Eagles",91,"L",90,"Melbourne",108,"I","Optus Stadium","WA","Perth",55824
182491651,2018,22,"2018-08-19","16:10","16:40","Regular Season","",10,"Adelaide Crows",86,"L",100,"North Melbourne",77,"I","Adelaide Oval","SA","Adelaide",41444
182509152,2018,23,"2018-08-24","19:20","19:50","Regular Season","",110,"Port Adelaide",89,"L",50,"Essendon",111,"I","Adelaide Oval","SA","Adelaide",39168
182507072,2018,23,"2018-08-25","13:45","13:45","Regular Season","",70,"Geelong Cats",142,"L",1000,"Gold Coast Suns",40,"I","GMHBA Stadium","VIC","Geelong",28004
182507632,2018,23,"2018-08-25","14:10","14:10","Regular Season","",120,"Richmond",98,"L",140,"Western Bulldogs",95,"L","MCG","VIC","Melbourne",56998
182508592,2018,23,"2018-08-25","14:35","16:35","Regular Season","",60,"Fremantle",67,"L",40,"Collingwood",76,"I","Optus Stadium","WA","Perth",41320
182509072,2018,23,"2018-08-25","19:25","19:25","Regular Season","",30,"Carlton",61,"L",10,"Adelaide Crows",165,"I","Etihad Stadium","VIC","Melbourne",17000
182505632,2018,23,"2018-08-25","19:25","19:25","Regular Season","",160,"Sydney Swans",74,"L",80,"Hawthorn",83,"I","SCG","NSW","Sydney",39660
182506512,2018,23,"2018-08-26","13:10","13:10","Regular Season","",20,"Brisbane Lions",72,"L",150,"West Coast Eagles",98,"I","Gabba","QLD","Brisbane",16367
182508112,2018,23,"2018-08-26","15:20","15:20","Regular Season","",90,"Melbourne",102,"L",1010,"GWS Giants",57,"I","MCG","VIC","Melbourne",37285
182506112,2018,23,"2018-08-26","16:40","16:40","Regular Season","",130,"St Kilda",94,"L",100,"North Melbourne",117,"L","Etihad Stadium","VIC","Melbourne",19866
104110101,2018,24,"2018-09-06","19:20","19:20","Final","Qualifying Final",120,"Richmond",95,"L",80,"Hawthorn",64,"L","MCG","VIC","Melbourne",91446
104110103,2018,24,"2018-09-07","19:50","19:50","Final","Elimination Final",90,"Melbourne",75,"L",70,"Geelong Cats",46,"L","MCG","VIC","Melbourne",91767
104110104,2018,24,"2018-09-08","16:20","16:20","Final","Elimination Final",160,"Sydney Swans",30,"L",1010,"GWS Giants",79,"L","SCG","NSW","Sydney",40350
104110102,2018,24,"2018-09-08","18:10","20:10","Final","Qualifying Final",150,"West Coast Eagles",86,"L",40,"Collingwood",70,"I","Optus Stadium","WA","Perth",
104110202,2018,25,"2018-09-14","19:50","19:50","Final","Semi Final",80,"Hawthorn",71,"L",90,"Melbourne",104,"L","MCG","VIC","Melbourne",
104110201,2018,25,"2018-09-15","19:25","19:25","Final","Semi Final",40,"Collingwood",69,"L",1010,"GWS Giants",59,"I","MCG","VIC","Melbourne",72504
104110301,2018,26,"2018-09-21","19:50","19:50","Final","Preliminary Final",120,"Richmond",58,"L",40,"Collingwood",97,"L","MCG","VIC","Melbourne",94959
104110302,2018,26,"2018-09-22","13:20","15:20","Final","Preliminary Final",150,"West Coast Eagles",121,"L",90,"Melbourne",55,"I","Optus Stadium","WA","Perth",59608
104110401,2018,27,"2018-09-29","14:30","14:30","Final","Grand Final",150,"West Coast Eagles",79,"I",40,"Collingwood",74,"L","MCG","VIC","Melbourne",100022
199470609,2019,1,"2019-03-21","19:25","19:25","Regular Season","",30,"Carlton",64,"L",120,"Richmond",97,"L","MCG","VIC","Melbourne",85016
199469090,2019,1,"2019-03-22","19:50","19:50","Regular Season","",40,"Collingwood",65,"L",70,"Geelong Cats",72,"L","MCG","VIC","Melbourne",78017
199469651,2019,1,"2019-03-23","13:45","13:45","Regular Season","",90,"Melbourne",61,"L",110,"Port Adelaide",87,"I","MCG","VIC","Melbourne",38866
199469571,2019,1,"2019-03-23","16:05","16:35","Regular Season","",10,"Adelaide Crows",55,"L",80,"Hawthorn",87,"I","Adelaide Oval","SA","Adelaide",50180
199468051,2019,1,"2019-03-23","19:20","20:20","Regular Season","",20,"Brisbane Lions",102,"L",150,"West Coast Eagles",58,"I","Gabba","QLD","Brisbane",20029
199470211,2019,1,"2019-03-23","19:25","19:25","Regular Season","",140,"Western Bulldogs",82,"L",160,"Sydney Swans",65,"I","Marvel Stadium","VIC","Melbourne",32303
199475840,2019,1,"2019-03-24","13:10","13:10","Regular Season","",130,"St Kilda",85,"L",1000,"Gold Coast Suns",84,"I","Marvel Stadium","VIC","Melbourne",
199475952,2019,1,"2019-03-24","15:20","15:20","Regular Season","",1010,"GWS Giants",112,"L",50,"Essendon",40,"I","GIANTS Stadium","NSW","Sydney",15424
199478320,2019,1,"2019-03-24","15:20","18:20","Regular Season","",60,"Fremantle",141,"L",100,"North Melbourne",59,"I","Optus Stadium","WA","Perth",40033
199485552,2019,2,"2019-03-28","19:20","19:20","Regular Season","",120,"Richmond",66,"L",40,"Collingwood",110,"L","MCG","VIC","Melbourne",
199483553,2019,2,"2019-03-29","19:50","19:50","Regular Season","",160,"Sydney Swans",62,"L",10,"Adelaide Crows",88,"I","SCG","NSW","Sydney",32575
199483954,2019,2,"2019-03-30","16:35","16:35","Regular Season","",50,"Essendon",65,"L",130,"St Kilda",76,"L","Marvel Stadium","VIC","Melbourne",44252
199487074,2019,2,"2019-03-30","16:40","17:10","Regular Season","",110,"Port Adelaide",88,"L",30,"Carlton",72,"I","Adelaide Oval","SA","Adelaide",41552
199485074,2019,2,"2019-03-30","17:10","20:10","Regular Season","",150,"West Coast Eagles",104,"L",1010,"GWS Giants",52,"I","Optus Stadium","WA","Perth",54985
199484994,2019,2,"2019-03-30","19:25","19:25","Regular Season","",70,"Geelong Cats",126,"L",90,"Melbourne",46,"L","GMHBA Stadium","VIC","Geelong",27561
199484515,2019,2,"2019-03-31","13:10","13:10","Regular Season","",100,"North Melbourne",87,"L",20,"Brisbane Lions",107,"I","Marvel Stadium","VIC","Melbourne",23110
199483475,2019,2,"2019-03-31","15:20","15:20","Regular Season","",80,"Hawthorn",87,"L",140,"Western Bulldogs",106,"L","MCG","VIC","Melbourne",39368
199485667,2019,2,"2019-03-31","15:40","16:40","Regular Season","",1000,"Gold Coast Suns",61,"L",60,"Fremantle",58,"I","Metricon Stadium","QLD","Gold Coast",10119
199502336,2019,3,"2019-04-04","19:20","19:50","Regular Season","",10,"Adelaide Crows",75,"L",70,"Geelong Cats",99,"I","Adelaide Oval","SA","Adelaide",45631
199502417,2019,3,"2019-04-05","19:50","19:50","Regular Season","",90,"Melbourne",112,"L",50,"Essendon",130,"L","MCG","VIC","Melbourne",52475
199503378,2019,3,"2019-04-06","13:45","13:45","Regular Season","",30,"Carlton",74,"L",160,"Sydney Swans",93,"I","Marvel Stadium","VIC","Melbourne",39290
199500530,2019,3,"2019-04-06","16:35","16:35","Regular Season","",1010,"GWS Giants",125,"L",120,"Richmond",76,"I","GIANTS Stadium","NSW","Sydney",12697
199500818,2019,3,"2019-04-06","18:25","19:25","Regular Season","",20,"Brisbane Lions",107,"L",110,"Port Adelaide",90,"I","Gabba","QLD","Brisbane",19958
199501858,2019,3,"2019-04-06","19:25","19:25","Regular Season","",40,"Collingwood",76,"L",150,"West Coast Eagles",98,"I","MCG","VIC","Melbourne",60878
199502979,2019,3,"2019-04-07","14:20","14:20","Regular Season","",140,"Western Bulldogs",68,"L",1000,"Gold Coast Suns",73,"I","Marvel Stadium","VIC","Melbourne",22499
199502899,2019,3,"2019-04-07","15:20","17:20","Regular Season","",60,"Fremantle",71,"L",130,"St Kilda",66,"I","Optus Stadium","WA","Perth",38277
199499859,2019,3,"2019-04-07","15:20","15:20","Regular Season","",80,"Hawthorn",87,"L",100,"North Melbourne",71,"L","MCG","VIC","Melbourne",36174
199508131,2019,4,"2019-04-11","19:20","19:20","Regular Season","",160,"Sydney Swans",78,"L",90,"Melbourne",100,"I","SCG","NSW","Sydney",26669
199518240,2019,4,"2019-04-12","19:50","19:50","Regular Season","",40,"Collingwood",78,"L",140,"Western Bulldogs",64,"L","MCG","VIC","Melbourne",59257
199517761,2019,4,"2019-04-13","13:45","13:45","Regular Season","",70,"Geelong Cats",75,"L",1010,"GWS Giants",79,"I","GMHBA Stadium","VIC","Geelong",28780
199516721,2019,4,"2019-04-13","14:10","14:10","Regular Season","",50,"Essendon",112,"L",20,"Brisbane Lions",65,"I","MCG","VIC","Melbourne",48289
199519841,2019,4,"2019-04-13","16:05","16:35","Regular Season","",110,"Port Adelaide",92,"L",120,"Richmond",99,"I","Adelaide Oval","SA","Adelaide",38864
